"time [h]","sync idx"
0.75,0.7391795823675745
1.5,0.8677283371780932
2.25,0.8584270223395903
3.,0.9211983238793461
3.75,0.9378714204284714
4.5,0.9495413861748515
5.25,0.9663539358988028
6.,0.9721151992087849
6.75,0.9762461724012915
7.5,0.975874704528866
8.25,0.976703555733881
9.,0.9790765155482418
9.75,0.9760936359452019
10.5,0.9801123165032811
11.25,0.9790937754044456
12.,0.9814315034656371
12.75,0.9846241591851895
13.5,0.9854703024745238
14.25,0.9861051433610847
15.,0.9868379424875423
15.75,0.9861654229736773
16.5,0.9847275649042074
17.25,0.9815545338918774
18.,0.9889986340383682
18.75,0.9889196550185947
19.5,0.988286451206653
20.25,0.9884393279097708
21.,0.9883041697975945
21.75,0.9872074606677564
22.5,0.9854125900804359
23.25,0.9820552490513048
24.,0.978072604813924
24.75,0.9735724384959682
25.5,0.9711184975378752
26.25,0.9651212572963079
27.,0.9627094109273425
27.75,0.9604000964089169
28.5,0.959952169941421
29.25,0.9598342615593088
30.,0.9619794147786913
30.75,0.9552331094648991
31.5,0.9597554367087363
32.25,0.9632935551258962
33.,0.9597472028420555
33.75,0.9591134057493961
34.5,0.9485858576927045
35.25,0.9522619388455481
36.,0.9458759567709027
36.75,0.9479723778652125
37.5,0.9597808419927727
38.25,0.9646787246362006
39.,0.9694379919118706
39.75,0.9716826048339343
40.5,0.9741324306513858
41.25,0.9736047178742318
42.,0.9764492767010977
42.75,0.9770125642262811
43.5,0.9763554711905084
44.25,0.9760799367381204
45.,0.9737054840492346
45.75,0.973541513998178
46.5,0.9724416724798597
47.25,0.9696020509689002
48.,0.9656401310260252
48.75,0.9613748392636741
49.5,0.9566492099346361
50.25,0.9499497686758454
51.,0.9431545566242342
51.75,0.9361180338058968
52.5,0.9343102930005573
53.25,0.9357552032114127
54.,0.933892794565881
54.75,0.9353992827689438
55.5,0.9394923675579382
56.25,0.9408717378609764
57.,0.9383600022353545
57.75,0.9259181374653361
58.5,0.926197333339756
59.25,0.929286220235182
60.,0.9220359256831864
60.75,0.9295237670779325
61.5,0.9321361829955895
62.25,0.9373393644844579
63.,0.9510377864440025
63.75,0.9558579882681884
64.5,0.9632242601108991
65.25,0.9694678974732187
66.,0.968548217349073
66.75,0.9705789220544976
67.5,0.9722949990864939
68.25,0.9745523939634334
69.,0.9742670571597167
69.75,0.9746346209163879
70.5,0.9744458507633741
71.25,0.9710224453242622
72.,0.9718167997211482
72.75,0.9677704212518008
73.5,0.9618343384376985
74.25,0.9535008954893028
75.,0.9482436785459184
75.75,0.9402084365538399
76.5,0.9403828803825615
77.25,0.9355442315025011
78.,0.9423737056886639
78.75,0.9154329234501555
79.5,0.9465685765916008
80.25,0.9488184460492747
81.,0.9372766766614806
81.75,0.9405367905748736
82.5,0.933650650377898
83.25,0.9257482054893709
84.,0.9229882854056857
84.75,0.9302939519992736
85.5,0.9268740051111316
86.25,0.9232252759299348
87.,0.9358185992006235
87.75,0.9440423544250368
88.5,0.9515266394388591
89.25,0.9568604203584226
90.,0.9571225068824183
90.75,0.959462972519924
91.5,0.9585669343893517
92.25,0.968553530259827
93.,0.9668555862141712
93.75,0.9615206911614744
94.5,0.9688168762939432
95.25,0.9678406883761007
96.,0.9647285253336267
96.75,0.9617222454872103
97.5,0.9535487328547914
98.25,0.9474358530060597
99.,0.9443250837899156
99.75,0.9380811807005296
100.5,0.929075818696631
101.25,0.9287443806610137
102.,0.9224734326719999
102.75,0.9275748429455085
103.5,0.9321038699831821
104.25,0.9200949314399697
105.,0.907307852526732
105.75,0.8971718630514292
106.5,0.8888477899577057
107.25,0.860559515049737
108.,0.8489097749463586
108.75,0.8433315435038932
109.5,0.8468474130250524
110.25,0.8482275140586384
111.,0.8556484484670663
111.75,0.8814235359329706
112.5,0.8996518129166959
113.25,0.9154137725814908
114.,0.9127106309962757
114.75,0.9249964410724828
115.5,0.9288503327749299
116.25,0.9212102380396723
117.,0.9445177067049582
117.75,0.9461848271853897
118.5,0.9428982228506527
119.25,0.9472412628654373
120.,0.9447941802079581
120.75,0.9375829963236016
121.5,0.9370423672680489
122.25,0.9285097013130691
123.,0.9207236467133904
123.75,0.9177792161157009
124.5,0.9113336013314716
125.25,0.9201846037233271
126.,0.9260027054949149
126.75,0.9243724373705923
127.5,0.9223931389966424
128.25,0.9174019758378256
129.,0.9114844898634643
129.75,0.9050089470113291
130.5,0.8916058438833332
131.25,0.8768453320937497
132.,0.8582928942174722
132.75,0.8527769697610396
133.5,0.8451616663272061
134.25,0.8459212599684914
135.,0.8077106310680542
135.75,0.7743088757122583
136.5,0.7596120236419867
137.25,0.7195291721906135
